Store_Code,Store_Name,Country_Format
831,Wm Heredia Este,CR-1
4315,Wm Tibas,CR-1
3036,Mxm Heredia,CR-2
4424,Mxm Ciudad Colon,CR-2
793,Mp Turrialba Norte,CR-3
939,Mp Alajuela Este,CR-3
978,Mp San Pablo,CR-3
3905,Mp Liberia,CR-3
4109,Mp Nicoya,CR-3
4136,Mp Guapiles,CR-3
4283,Mp Alajuelita,CR-3
4318,Mp Mercedes Norte,CR-3
751,Pali San Sebast Nort,CR-5
851,Pali Rio Jimenez,CR-5
950,Pali Santa Maria De Dota,CR-5
952,Pali Uruca Oeste,CR-5
982,Pali Rio Segundo,CR-5
984,Pali Las Canas,CR-5
3058,Pali Puntarenas,CR-5
3066,Pali Castellana,CR-5
3067,Pali Curridabat,CR-5
3078,Pali Paraiso,CR-5
3092,Pali San Miguel Desamparados,CR-5
3108,Pali Puriscal,CR-5
3110,Pali Cariari,CR-5
3126,Pali Orotina,CR-5
3133,Pali San Felipe,CR-5
3142,Pali Santa Barbara,CR-5
3143,Pali Rio Frio,CR-5
4021,Pali Guatuso,CR-5
4025,Pali Chacarita,CR-5
4166,Pali Miramar,CR-5
4170,Pali San Vito Coto Brus,CR-5
4198,Pali Samara,CR-5
4320,Pali Llorente,CR-5
121,Wm Roosevelt,GT-1
4370,Wm Proceres,GT-1
4414,Wm Atanasio Tzul,GT-1
35,Paiz Petapa,GT-2
706,Md Palin,GT-3
4142,Md Zacapa,GT-3
4206,Md San Rafael,GT-3
4298,Md Trigales,GT-3
4360,Md Chiquimulilla,GT-3
4495,Maxi Df Barberena,GT-3
89,Df Zona 2,GT-5
176,Df Puer De San Jose,GT-5
178,Df Antig Guatemala,GT-5
340,Df San Francisco Mix,GT-5
381,Df Patzun,GT-5
420,Df Mazatenango Ii,GT-5
444,Df Patulul,GT-5
461,Df Justo Rufino Barrios,GT-5
463,Df Poptun,GT-5
480,Df Morales,GT-5
788,Df La Felicidad Villa Nueva,GT-5
4055,Df Santa Catarina Mita,GT-5
4178,Df Las Brisas,GT-5
4263,Df San Luis Jilotepeque,GT-5
4321,Df Jalpatagua,GT-5
4327,Df Santo Tomas De Castill,GT-5
4434,Df El Ingenio Amatitlan,GT-5
4489,Df Zona 11,GT-5
4238,Md Comayagua,HN-3
4482,Md Catacamas,HN-3
644,Df Siguatepeque,HN-5
704,Df El Carmen,HN-5
789,Df Las Vegas,HN-5
920,Df 21 De Agosto,HN-5
4167,Df Ceiba Independencia,HN-5
4324,Df Jesus De Otoro,HN-5
4483,Df Venecia,HN-5
732,Union Villa Fontana,NI-2
2020,Union Linda Vista,NI-2
4250,Mp Rivas,NI-3
4438,Mp Pista Mayoreo,NI-3
723,Pali Ticuantepe,NI-5
2014,Pali Chinandega,NI-5
2019,Pali C Sandido,NI-5
2027,Pali Jinotepe,NI-5
4042,Pali Las Americas,NI-5
4227,Pali Villa Sandino,NI-5
4411,Wm San Miguel,SV-1
4038,Ddj Los Heroes,SV-2
579,Md San Bartolo,SV-3
787,Md San Miguel Panamericana,SV-3
798,Md San Juan,SV-3
816,Md Campos Verdes,SV-3
516,Df Mejicanos,SV-5
520,Df Santa Tecla,SV-5
561,Df Centro Libertad,SV-5
565,Df San Jacinto,SV-5
730,Df Ilopango,SV-5
4007,Df Atiquizaya,SV-5
4008,Df Ciudad Arce,SV-5
4077,Df Ciudad Barrios,SV-5
4110,Df Armenia,SV-5
4112,Df Cuscatancingo,SV-5
4145,Df S.S. Centro,SV-5
4366,Df El Rosario,SV-5
